Entity Name	Entity type	Gene Symbol	Sources(; separated)	Level4	Level3	Level2	Model_Of_Inheritance	Phenotypes	Omim	Orphanet	HPO	Publications	Description	Flagged	GEL_Status	UserRatings_Green_amber_red	version	ready	Mode of pathogenicity	EnsemblId(GRch37)	EnsemblId(GRch38)	HGNC	Position Chromosome	Position GRCh37 Start	Position GRCh37 End	Position GRCh38 Start	Position GRCh38 End	STR Repeated Sequence	STR Normal Repeats	STR Pathogenic Repeats	Region Haploinsufficiency Score	Region Triplosensitivity Score	Region Required Overlap Percentage	Region Variant Type	Region Verbose Name
ACE	gene	ACE	Expert Review Green;Illumina TruGenome Clinical Sequencing Services;Radboud University Medical Center, Nijmegen	CAKUT	Structural renal and urinary tract disease	Renal and urinary tract disorders	BIALLELIC, autosomal or pseudoautosomal	Renal Tubular Dysgenesis;{Myocardial infarction, susceptibility to}{Alzheimer disease, susceptibility to}, 104300{Microvascular complications of diabetes 3}, 612624[Angiotensin I-converting enzyme, benign serum increase]{SARS, progression of}Renal tubular				30058238;16116425		False	3	100;0;0	1.178	True		ENSG00000159640	ENSG00000159640	HGNC:2707													
ACTG2	gene	ACTG2	Expert Review;Expert Review Green	CAKUT	Structural renal and urinary tract disease	Renal and urinary tract disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Megacystis-microcolon intestinal  hypoperistalsis syndrome; visceral myopathy; Berdon syndrome				PMID: 25998219		False	3	100;0;0	1.178	False		ENSG00000163017	ENSG00000163017	HGNC:145													
AGT	gene	AGT	Expert Review Green;Illumina TruGenome Clinical Sequencing Services;Radboud University Medical Center, Nijmegen	CAKUT	Structural renal and urinary tract disease	Renal and urinary tract disorders	BIALLELIC, autosomal or pseudoautosomal	Renal Tubular Dysgenesis;{Hypertension, essential, susceptibility to}, 145500{Preeclampsia, susceptibility to}Renal tubular dysgenesis, 267430						False	3	100;0;0	1.178	True		ENSG00000135744	ENSG00000135744	HGNC:333													
AGTR1	gene	AGTR1	Expert Review Green;Illumina TruGenome Clinical Sequencing Services;Radboud University Medical Center, Nijmegen	CAKUT	Structural renal and urinary tract disease	Renal and urinary tract disorders	BIALLELIC, autosomal or pseudoautosomal	Renal Tubular Dysgenesis;Hypertension, essential, 145500;Renal tubular dysgenesis, 267430						False	3	100;0;0	1.178	True		ENSG00000144891	ENSG00000144891	HGNC:336													
ANOS1	gene	ANOS1	Expert Review;Expert Review Green	CAKUT	Structural renal and urinary tract disease	Renal and urinary tract disorders	X-LINKED: hemizygous mutation in males, biallelic mutations in females	Kallman syndrome;Hypogonadotropic hypogonadism 1 with or without anosmia (Kallmann syndrome 1)						False	3	100;0;0	1.178	False		ENSG00000011201	ENSG00000011201	HGNC:6211													
BNC2	gene	BNC2	Expert Review Green;Other	CAKUT	Structural renal and urinary tract disease	Renal and urinary tract disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Posterior urethral valves;PUV;Congenital lower urinary-tract obstruction;Lower urinary tract obstruction, congenital, 618612				31051115		False	3	50;0;50	1.178	False	Loss-of-function variants (as defined in pop up message) DO NOT cause this phenotype - please provide details in the comments	ENSG00000173068	ENSG00000173068	HGNC:30988													
CEP55	gene	CEP55	Expert list;Expert Review Green	CAKUT	Structural renal and urinary tract disease	Renal and urinary tract disorders	BIALLELIC, autosomal or pseudoautosomal	Multinucleated neurons, anhydramnios, renal dysplasia, cerebellar hypoplasia, and hydranencephaly, 236500;MARCH syndrome;Meckel-like syndrome;lethal CEP55-related syndromes				30622327;28264986;32100459;28295209		False	3	100;0;0	1.178	False		ENSG00000138180	ENSG00000138180	HGNC:1161													
CHD7	gene	CHD7	Expert Review;Expert Review Green	CAKUT	Structural renal and urinary tract disease	Renal and urinary tract disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	CHARGE syndrome						False	3	100;0;0	1.178	False		ENSG00000171316	ENSG00000171316	HGNC:20626													
CHRM3	gene	CHRM3	Expert Review;Expert Review Green	CAKUT	Structural renal and urinary tract disease	Renal and urinary tract disorders	BIALLELIC, autosomal or pseudoautosomal	Prune belly syndrome, OMIM:100100;Megacystis;Urinary Bladder Disease				10944224;22077972;31441039		False	3	50;0;50	1.178	False		ENSG00000133019	ENSG00000133019	HGNC:1952													
CHRNA3	gene	CHRNA3	Expert list;Expert Review Green	CAKUT	Structural renal and urinary tract disease	Renal and urinary tract disorders	BIALLELIC, autosomal or pseudoautosomal	CAKUT;dysautonomia				31708116		False	3	100;0;0	1.178	False		ENSG00000080644	ENSG00000080644	HGNC:1957													
CTU2	gene	CTU2	Expert list;Expert Review Green	CAKUT	Structural renal and urinary tract disease	Renal and urinary tract disorders	BIALLELIC, autosomal or pseudoautosomal	DREAM PL syndrome;Microcephaly, facial dysmorphism, renal agenesis, and ambiguous genitalia syndrome, 618142				27480277;26633546;31301155		False	3	100;0;0	1.178	False		ENSG00000174177	ENSG00000174177	HGNC:28005													
DHCR7	gene	DHCR7	Expert list;Expert Review Green	CAKUT	Structural renal and urinary tract disease	Renal and urinary tract disorders	BIALLELIC, autosomal or pseudoautosomal	Smith-Lemli-Opitz syndrome, 270400;renal agenesis				3812577;10069707;23059950;9678700;31840946		False	3	100;0;0	1.178	False		ENSG00000172893	ENSG00000172893	HGNC:2860													
DSTYK	gene	DSTYK	Expert list;Expert Review Green;Radboud University Medical Center, Nijmegen	CAKUT	Structural renal and urinary tract disease	Renal and urinary tract disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Renal hypodysplasia;ureteropelvic junction obstruction;vesicoureteric reflux;CONGENITAL ANOMALIES OF KIDNEY AND URINARY TRACT, CAKUT1;{Congenital anomalies of kidney and urinary tract, susceptibility to}, 610805						False	3	50;0;50	1.178	False		ENSG00000133059	ENSG00000133059	HGNC:29043													
EYA1	gene	EYA1	Expert Review Green;Illumina TruGenome Clinical Sequencing Services;Radboud University Medical Center, Nijmegen;UKGTN	CAKUT	Structural renal and urinary tract disease	Renal and urinary tract disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Branchiootorenal syndrome 1, with or without cataracts, 113650;Anterior segment anomalies with or without cataract, 113650;Branchiootic syndrome 1, 602588;Otofaciocervical syndrome, 166780;Branchiootorenal Spectrum Disorders						False	3	100;0;0	1.178	True		ENSG00000104313	ENSG00000104313	HGNC:3519													
FAM58A	gene	FAM58A	Expert list;Expert Review Green	CAKUT	Structural renal and urinary tract disease	Renal and urinary tract disorders	X-LINKED: hemizygous mutation in males, monoallelic mutations in females may cause disease (may be less severe, later onset than males)	STAR syndrome, 300707;Syndactyly, Telecanthus, Anogenital malformations and Renal malformations				28225384;18297069		False	3	100;0;0	1.178	False		ENSG00000147382	ENSG00000262919	HGNC:28434													
FRAS1	gene	FRAS1	Expert list;Expert Review Green	CAKUT	Structural renal and urinary tract disease	Renal and urinary tract disorders	BIALLELIC, autosomal or pseudoautosomal	Fraser syndrome						False	3	100;0;0	1.178	True		ENSG00000138759	ENSG00000138759	HGNC:19185													
FREM1	gene	FREM1	Expert list;Expert Review Green;Radboud University Medical Center, Nijmegen	CAKUT	Structural renal and urinary tract disease	Renal and urinary tract disorders	BIALLELIC, autosomal or pseudoautosomal	Bifid nose with or without anorectal and renal anomalies, 608980				PMID: 24700879		False	3	100;0;0	1.178	True		ENSG00000164946	ENSG00000164946	HGNC:23399													
FREM2	gene	FREM2	Expert list;Expert Review Green	CAKUT	Structural renal and urinary tract disease	Renal and urinary tract disorders	BIALLELIC, autosomal or pseudoautosomal	Fraser syndrome						False	3	100;0;0	1.178	True		ENSG00000150893	ENSG00000150893	HGNC:25396													
GATA3	gene	GATA3	Expert Review Green;Illumina TruGenome Clinical Sequencing Services;Radboud University Medical Center, Nijmegen;UKGTN	CAKUT	Structural renal and urinary tract disease	Renal and urinary tract disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Hypoparathyroidism, Sensorineural Deafness, and Renal Disease;Hypoparathyroidism, sensorineural deafness, and renal dysplasia, 146255						False	3	100;0;0	1.178	True		ENSG00000107485	ENSG00000107485	HGNC:4172													
GLI3	gene	GLI3	Expert list;Expert Review Green	CAKUT	Structural renal and urinary tract disease	Renal and urinary tract disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Pallister-Hall syndrome, OMIM:146510						False	3	100;0;0	1.178	False		ENSG00000106571	ENSG00000106571	HGNC:4319													
GPC3	gene	GPC3	Expert list;Expert Review Green	CAKUT	Structural renal and urinary tract disease	Renal and urinary tract disorders	X-LINKED: hemizygous mutation in males, biallelic mutations in females	"Simpson-Golabi-Behmel syndrome, type 1	312870"				29637653;23606591;20301398		False	3	100;0;0	1.178	False		ENSG00000147257	ENSG00000147257	HGNC:4451													
GREB1L	gene	GREB1L	Expert list;Expert Review Green	CAKUT	Structural renal and urinary tract disease	Renal and urinary tract disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Renal hypodysplasia/aplasia 3, 617805				29100091;29220675		False	3	100;0;0	1.178	False		ENSG00000141449	ENSG00000141449	HGNC:31042													
GRIP1	gene	GRIP1	Expert list;Expert Review Green	CAKUT	Structural renal and urinary tract disease	Renal and urinary tract disorders	BIALLELIC, autosomal or pseudoautosomal	Fraser syndrome;isolated CAKUT				PMID: 22510445;24700879;14730302.		False	3	100;0;0	1.178	True		ENSG00000155974	ENSG00000155974	HGNC:18708													
HAAO	gene	HAAO	Expert Review Green;Literature	CAKUT	Structural renal and urinary tract disease	Renal and urinary tract disorders	BIALLELIC, autosomal or pseudoautosomal	Multiple congenital malformations; VACTERL-like phenotype				27604308; 17334708; 28792876		False	3	0;0;0	1.178	False		ENSG00000162882	ENSG00000162882	HGNC:4796													
HNF1B	gene	HNF1B	Eligibility statement prior genetic testing;Expert Review Green	CAKUT	Structural renal and urinary tract disease	Renal and urinary tract disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Renal cysts and diabetes syndrome;Diabetes mellitus, noninsulin-dependent						False	3	100;0;0	1.178	True		ENSG00000108753	ENSG00000275410	HGNC:11630													
HOXA13	gene	HOXA13	Expert list;Expert Review Green	CAKUT	Structural renal and urinary tract disease	Renal and urinary tract disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Hand-foot-uterus syndrome, 140000				30649340;28947713;24934387;23376215		False	3	100;0;0	1.178	False		ENSG00000106031	ENSG00000106031	HGNC:5102													
HPSE2	gene	HPSE2	Expert Review;Expert Review Green	CAKUT	Structural renal and urinary tract disease	Renal and urinary tract disorders	BIALLELIC, autosomal or pseudoautosomal	Urofacial Syndrome;Congenital bladder disease: dyssynergic, high pressure bladder				Daly SB, Urquhart JE, Hilton E, McKenzie EA, Kammerer RA, Lewis M, Kerr B, Stuart H, Donnai D, Long DA, Burgu B, Aydogdu O, Derbent M, Garcia-Minaur S, Reardon W, Gener B, Shalev S, Smith R, Woolf AS, Black GC, Newman WG. Mutations in HPSE2 cause urofacial syndrome. Am J Hum Genet 11:963-969, 2010.		False	3	100;0;0	1.178	True		ENSG00000172987	ENSG00000172987	HGNC:18374													
ITGA8	gene	ITGA8	Expert list;Expert Review Green;Radboud University Medical Center, Nijmegen	CAKUT	Structural renal and urinary tract disease	Renal and urinary tract disorders	BIALLELIC, autosomal or pseudoautosomal	Renal hypodysplasia/aplasia 1, 191830						False	3	100;0;0	1.178	True		ENSG00000077943	ENSG00000077943	HGNC:6144													
JAG1	gene	JAG1	Expert Review Green;Literature	CAKUT	Structural renal and urinary tract disease	Renal and urinary tract disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Alagille syndrome 1, OMIM:118450				22105858;23752887		False	3	100;0;0	1.178	False		ENSG00000101384	ENSG00000101384	HGNC:6188													
KDM6A	gene	KDM6A	Expert list;Expert Review Green	CAKUT	Structural renal and urinary tract disease	Renal and urinary tract disorders	X-LINKED: hemizygous mutation in males, monoallelic mutations in females may cause disease (may be less severe, later onset than males)	Kabuki syndrome 2, 300867				23535010		False	3	100;0;0	1.178	False		ENSG00000147050	ENSG00000147050	HGNC:12637													
KMT2D	gene	KMT2D	Expert list;Expert Review Green	CAKUT	Structural renal and urinary tract disease	Renal and urinary tract disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Kabuki syndrome 1, 147920				23535010		False	3	100;0;0	1.178	False		ENSG00000167548	ENSG00000167548	HGNC:7133													
KYNU	gene	KYNU	Expert Review Green;Literature	CAKUT	Structural renal and urinary tract disease	Renal and urinary tract disorders	BIALLELIC, autosomal or pseudoautosomal	Hydroxykynureninuria (Disorders of histidine, tryptophan or lysine metabolism); ?Hydroxykynureninuria, 236800; multiple congenital malformations; VACTERL-like phenotype				27604308; 17334708; 28792876		False	3	0;0;0	1.178	False		ENSG00000115919	ENSG00000115919	HGNC:6469													
LIFR	gene	LIFR	Expert Review Green;Literature	CAKUT	Structural renal and urinary tract disease	Renal and urinary tract disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	CAKUT				28334964		False	3	100;0;0	1.178	False		ENSG00000113594	ENSG00000113594	HGNC:6597													
LRIG2	gene	LRIG2	Expert Review;Expert Review Green	CAKUT	Structural renal and urinary tract disease	Renal and urinary tract disorders	BIALLELIC, autosomal or pseudoautosomal	Urofacial syndrome;Congenital bladder disease: dyssynergic, high pressure bladder.				23313374		False	3	100;0;0	1.178	True		ENSG00000198799	ENSG00000198799	HGNC:20889													
LRP4	gene	LRP4	Expert list;Expert Review Green	CAKUT	Structural renal and urinary tract disease	Renal and urinary tract disorders	BIALLELIC, autosomal or pseudoautosomal	Cenani-Lenz syndactyly syndrome, 212780				20381006;23636941;24924585;26847765		False	3	100;0;0	1.178	False		ENSG00000134569	ENSG00000134569	HGNC:6696													
MYOCD	gene	MYOCD	Expert Review Green;Literature	CAKUT	Structural renal and urinary tract disease	Renal and urinary tract disorders	BOTH monoallelic and biallelic, autosomal or pseudoautosomal	Megabladder, congenital, OMIM:618719;Megabladder, congenital, MONDO:0032879				31513549		False	3	100;0;0	1.178	False		ENSG00000141052	ENSG00000141052	HGNC:16067													
NADSYN1	gene	NADSYN1	Expert list;Expert Review Green	CAKUT	Structural renal and urinary tract disease	Renal and urinary tract disorders	BIALLELIC, autosomal or pseudoautosomal	Vertebral, cardiac, renal, and limb defects syndrome 3 618845				31883644		False	3	100;0;0	1.178	False		ENSG00000172890	ENSG00000172890	HGNC:29832													
NIPBL	gene	NIPBL	Expert list;Expert Review Green	CAKUT	Structural renal and urinary tract disease	Renal and urinary tract disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Cornelia de Lange syndrome 1 122470				8291540;8291537;16799922;15146186;15146185;15318302		False	3	100;0;0	1.178	False		ENSG00000164190	ENSG00000164190	HGNC:28862													
NOTCH2	gene	NOTCH2	Expert Review Green;Literature	CAKUT	Structural renal and urinary tract disease	Renal and urinary tract disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Alagille syndrome 2 610205				22105858;16773578;22209762		False	3	100;0;0	1.178	False		ENSG00000134250	ENSG00000134250	HGNC:7882													
NPHP3	gene	NPHP3	Expert Review Green;Illumina TruGenome Clinical Sequencing Services;Radboud University Medical Center, Nijmegen	CAKUT	Structural renal and urinary tract disease	Renal and urinary tract disorders	BIALLELIC, autosomal or pseudoautosomal	Nephronophthisis 3, 604387;Renal-hepatic-pancreatic dysplasia 1, 208540;Meckel syndrome 7, 267010;Renal-Hepatic-Pancreatic Dysplasia						False	3	100;0;0	1.178	True		ENSG00000113971	ENSG00000113971	HGNC:7907													
PAX2	gene	PAX2	Expert list;Expert Review Green;Radboud University Medical Center, Nijmegen	CAKUT	Structural renal and urinary tract disease	Renal and urinary tract disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Papillorenal syndrome, 120330;RENAL-COLOBOMA SYNDROME;Papillorenal syndrome;Glomerulosclerosis, focal segmental, 7						False	3	100;0;0	1.178	False		ENSG00000075891	ENSG00000075891	HGNC:8616													
PBX1	gene	PBX1	Expert Review Green;Other	CAKUT	Structural renal and urinary tract disease	Renal and urinary tract disorders	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	CAKUT				28566479;28270404		False	3	0;0;100	1.178	True		ENSG00000185630	ENSG00000185630	HGNC:8632													
PLVAP	gene	PLVAP	Expert Review Green;Literature	CAKUT	Structural renal and urinary tract disease	Renal and urinary tract disorders	BIALLELIC, autosomal or pseudoautosomal	Diarrhoea 10, protein-losing enteropathy type, OMIM:618183				29875123;29661969;26207260;31215290		False	3	100;0;0	1.178	False		ENSG00000130300	ENSG00000130300	HGNC:13635													
REN	gene	REN	Expert list;Expert Review Green;Illumina TruGenome Clinical Sequencing Services;Radboud University Medical Center, Nijmegen	CAKUT	Structural renal and urinary tract disease	Renal and urinary tract disorders	BOTH monoallelic and biallelic, autosomal or pseudoautosomal	Renal Tubular Dysgenesis;[Hyperproreninemia]						False	3	100;0;0	1.178	False		ENSG00000143839	ENSG00000143839	HGNC:9958													
RET	gene	RET	Expert list;Expert Review Green;Illumina TruGenome Clinical Sequencing Services;Radboud University Medical Center, Nijmegen	CAKUT	Structural renal and urinary tract disease	Renal and urinary tract disorders	BOTH monoallelic and biallelic, autosomal or pseudoautosomal	Renal Adysplasia;Multiple endocrine neoplasia IIA, 171400;Medullary thyroid carcinoma, 155240;Multiple endocrine neoplasia IIB, 162300;Central hypoventilation syndrome, congenital, 209880;Pheochromocytoma, 171300;Renal agenesis, 191830;{Hirschsprung disease, susceptibility to, 1}, 142623						False	3	100;0;0	1.178	False		ENSG00000165731	ENSG00000165731	HGNC:9967													
ROBO1	gene	ROBO1	Expert Review Green;Literature	CAKUT	Structural renal and urinary tract disease	Renal and urinary tract disorders	BIALLELIC, autosomal or pseudoautosomal	Neurooculorenal syndrome, OMIM:620305				35227688		False	3	100;0;0	1.178	False		ENSG00000169855	ENSG00000169855	HGNC:10249													
ROBO2	gene	ROBO2	Expert list;Expert Review Green;Illumina TruGenome Clinical Sequencing Services;Radboud University Medical Center, Nijmegen	CAKUT	Structural renal and urinary tract disease	Renal and urinary tract disorders	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Vesicoureteral reflux 2 610878				27002985;24429398;29194579;31630547;27460642;17357069		False	3	25;0;75	1.178	True		ENSG00000185008	ENSG00000185008	HGNC:10250													
