Entity Name	Entity type	Gene Symbol	Sources(; separated)	Level4	Level3	Level2	Model_Of_Inheritance	Phenotypes	Omim	Orphanet	HPO	Publications	Description	Flagged	GEL_Status	UserRatings_Green_amber_red	version	ready	Mode of pathogenicity	EnsemblId(GRch37)	EnsemblId(GRch38)	HGNC	Position Chromosome	Position GRCh37 Start	Position GRCh37 End	Position GRCh38 Start	Position GRCh38 End	STR Repeated Sequence	STR Normal Repeats	STR Pathogenic Repeats	Region Haploinsufficiency Score	Region Triplosensitivity Score	Region Required Overlap Percentage	Region Variant Type	Region Verbose Name
AHI1	gene	AHI1	Eligibility statement prior genetic testing;Expert list;Expert Review Green;Other	Renal ciliopathies	Congenital malformations caused by ciliopathies	Ciliopathies	BIALLELIC, autosomal or pseudoautosomal	Joubert syndrome 3;Joubert syndrome;Joubert syndrome-3.						False	3	100;0;0	4.3	False		ENSG00000135541	ENSG00000135541	HGNC:21575													
ALMS1	gene	ALMS1	Eligibility statement prior genetic testing;Expert list;Expert Review Green;Illumina TruGenome Clinical Sequencing Services;Orphanet;UKGTN	Renal ciliopathies	Congenital malformations caused by ciliopathies	Ciliopathies	BIALLELIC, autosomal or pseudoautosomal	Bardet-Biedl Syndrome;Alstrom syndrome, OMIM:203800				22773737		False	3	0;0;100	4.3	False		ENSG00000116127	ENSG00000116127	HGNC:428													
ANKS6	gene	ANKS6	Expert list;Expert Review Green;Orphanet;Radboud University Medical Center, Nijmegen;UKGTN	Renal ciliopathies	Congenital malformations caused by ciliopathies	Ciliopathies	BIALLELIC, autosomal or pseudoautosomal	Polycystic Kidney Disease, Nephronophthisis And Related Disorders 22 Gene Panel;Nephronophthisis 16, OMIM:615382				23793029;34740236		False	3	100;0;0	4.3	False		ENSG00000165138	ENSG00000165138	HGNC:26724													
ARL13B	gene	ARL13B	Expert list;Expert Review Green;Other	Renal ciliopathies	Congenital malformations caused by ciliopathies	Ciliopathies	BIALLELIC, autosomal or pseudoautosomal	Joubert syndrome 8				18674751;25138100		False	3	100;0;0	4.3	False		ENSG00000169379	ENSG00000169379	HGNC:25419													
ARL6	gene	ARL6	Eligibility statement prior genetic testing;Expert list;Expert Review Green	Renal ciliopathies	Congenital malformations caused by ciliopathies	Ciliopathies	BIALLELIC, autosomal or pseudoautosomal	{Bardet Biedl syndrome 1, modifier of};Bardet-Biedl Syndrome;268000;Bardet Biedl syndrome 3				15258860;21282186		False	3	100;0;0	4.3	False		ENSG00000113966	ENSG00000113966	HGNC:13210													
B9D2	gene	B9D2	Emory Genetics Laboratory;Expert list;Expert Review Green;Illumina TruGenome Clinical Sequencing Services;Orphanet;Radboud University Medical Center, Nijmegen;UKGTN	Renal ciliopathies	Congenital malformations caused by ciliopathies	Ciliopathies	BIALLELIC, autosomal or pseudoautosomal	Joubert syndrome 34, OMIM:614175;Meckel syndrome 10, OMIM:614175;Meckel syndrome, type 10, MONDO:0013609				26092869;21763481;31411728		False	3	0;0;100	4.3	False		ENSG00000123810	ENSG00000123810	HGNC:28636													
BBS1	gene	BBS1	Eligibility statement prior genetic testing;Expert list;Expert Review Green	Renal ciliopathies	Congenital malformations caused by ciliopathies	Ciliopathies	BIALLELIC, autosomal or pseudoautosomal	Bardet-Biedl syndrome 1 OMIM:209900;Bardet-Biedl syndrome 1 MONDO:0008854				23143442;12118255		False	3	100;0;0	4.3	False		ENSG00000174483	ENSG00000174483	HGNC:966													
BBS10	gene	BBS10	Eligibility statement prior genetic testing;Expert list;Expert Review Green	Renal ciliopathies	Congenital malformations caused by ciliopathies	Ciliopathies	BIALLELIC, autosomal or pseudoautosomal	Bardet Biedl syndrome 10				16582908		False	3	100;0;0	4.3	False		ENSG00000179941	ENSG00000179941	HGNC:26291													
BBS12	gene	BBS12	Eligibility statement prior genetic testing;Expert list;Expert Review Green	Renal ciliopathies	Congenital malformations caused by ciliopathies	Ciliopathies	BIALLELIC, autosomal or pseudoautosomal	Bardet Biedl syndrome 12				17160889		False	3	100;0;0	4.3	False		ENSG00000181004	ENSG00000181004	HGNC:26648													
BBS2	gene	BBS2	Eligibility statement prior genetic testing;Expert list;Expert Review Green	Renal ciliopathies	Congenital malformations caused by ciliopathies	Ciliopathies	BIALLELIC, autosomal or pseudoautosomal	Bardet Biedl syndrome 2				11285252		False	3	100;0;0	4.3	False		ENSG00000125124	ENSG00000125124	HGNC:967													
