Entity Name	Entity type	Gene Symbol	Sources(; separated)	Level4	Level3	Level2	Model_Of_Inheritance	Phenotypes	Omim	Orphanet	HPO	Publications	Description	Flagged	GEL_Status	UserRatings_Green_amber_red	version	ready	Mode of pathogenicity	EnsemblId(GRch37)	EnsemblId(GRch38)	HGNC	Position Chromosome	Position GRCh37 Start	Position GRCh37 End	Position GRCh38 Start	Position GRCh38 End	STR Repeated Sequence	STR Normal Repeats	STR Pathogenic Repeats	Region Haploinsufficiency Score	Region Triplosensitivity Score	Region Required Overlap Percentage	Region Variant Type	Region Verbose Name
ACTN4	gene	ACTN4	Eligibility statement prior genetic testing;Expert Review Green;NHS GMS	Proteinuric renal disease	Syndromes with prominent renal abnormalities	Renal and urinary tract disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Glomerulosclerosis, focal segmental, 1 603278				10700177;26301083;16251236;29043128		False	3	100;0;0	5.2	True	Other - please provide details in the comments	ENSG00000130402	ENSG00000130402	HGNC:166													
AMN	gene	AMN	Expert;Expert Review Green;NHS GMS;Radboud University Medical Center, Nijmegen	Proteinuric renal disease	Syndromes with prominent renal abnormalities	Renal and urinary tract disorders	BIALLELIC, autosomal or pseudoautosomal	Megaloblastic anemia-1, Norwegian type, OMIM:261100				12590260;26040326		False	3	33;33;33	5.2	True		ENSG00000166126	ENSG00000166126	HGNC:14604													
APOE	gene	APOE	Expert Review Green;Literature	Proteinuric renal disease	Syndromes with prominent renal abnormalities	Renal and urinary tract disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Lipoprotein glomerulopathy, OMIM:611771				10432380;9176854;18077821;31092271		False	3	100;0;0	5.2	False		ENSG00000130203	ENSG00000130203	HGNC:613													
ARHGDIA	gene	ARHGDIA	Eligibility statement prior genetic testing;Expert Review Green;NHS GMS	Proteinuric renal disease	Syndromes with prominent renal abnormalities	Renal and urinary tract disorders	BIALLELIC, autosomal or pseudoautosomal	Nephrotic syndrome, type 8 #615224				23434736;23867502;30295827		False	3	0;100;0	5.2	True		ENSG00000141522	ENSG00000141522	HGNC:678													
CD151	gene	CD151	Eligibility statement prior genetic testing;Expert Review Green;NHS GMS	Proteinuric renal disease	Syndromes with prominent renal abnormalities	Renal and urinary tract disorders	BIALLELIC, autosomal or pseudoautosomal	Nephropathy with pretibial epidermolysis bullosa and deafness, OMIM:609057;nephrotic syndrome - deafness - pretibial epidermolysis bullosa syndrome, MONDO:0012190				15265795;17015618;29138120;32641585;22338088;18787104;22201679		False	3	50;25;25	5.2	True		ENSG00000177697	ENSG00000177697	HGNC:1630													
CLCN5	gene	CLCN5	Expert Review Green;NHS GMS;Radboud University Medical Center, Nijmegen	Proteinuric renal disease	Syndromes with prominent renal abnormalities	Renal and urinary tract disorders	X-LINKED: hemizygous mutation in males, monoallelic mutations in females may cause disease (may be less severe, later onset than males)	Dent disease, 300009; Nephrolithiasis, type I, 310468; Hypophosphatemic rickets, 300554; Proteinuria, low molecular weight, with hypercalciuric nephrocalcinosis, 308990				27757584;25907713;23886564		False	3	50;50;0	5.2	True		ENSG00000171365	ENSG00000171365	HGNC:2023													
COL4A3	gene	COL4A3	Eligibility statement prior genetic testing;Expert Review Green;NHS GMS	Proteinuric renal disease	Syndromes with prominent renal abnormalities	Renal and urinary tract disorders	BOTH monoallelic and biallelic (but BIALLELIC mutations cause a more SEVERE disease form), autosomal or pseudoautosomal	Alport syndrome, autosomal dominant #104200;Alport syndrome, autosomal recessive #203780;Hematuria, benign familial #141200				30506145;29987460;24052634		False	3	100;0;0	5.2	True		ENSG00000169031	ENSG00000169031	HGNC:2204													
COL4A4	gene	COL4A4	Eligibility statement prior genetic testing;Expert Review Green;NHS GMS	Proteinuric renal disease	Syndromes with prominent renal abnormalities	Renal and urinary tract disorders	BOTH monoallelic and biallelic (but BIALLELIC mutations cause a more SEVERE disease form), autosomal or pseudoautosomal	Alport syndrome 2, autosomal recessive, OMIM:203780;Hematuria,familial benign, OMIM:141200				30506145;29987460;24052634		False	3	100;0;0	5.2	True		ENSG00000081052	ENSG00000081052	HGNC:2206													
COL4A5	gene	COL4A5	Eligibility statement prior genetic testing;Expert Review Green;NHS GMS	Proteinuric renal disease	Syndromes with prominent renal abnormalities	Renal and urinary tract disorders	X-LINKED: hemizygous mutation in males, monoallelic mutations in females may cause disease (may be less severe, later onset than males)	Alports;Familial benign haematuria;Alport syndrome;proteinuria;haematuria;FSGS				29987460;29270492		False	3	100;0;0	5.2	True		ENSG00000188153	ENSG00000188153	HGNC:2207													
COQ2	gene	COQ2	Eligibility statement prior genetic testing;Expert Review Green;NHS GMS	Proteinuric renal disease	Syndromes with prominent renal abnormalities	Renal and urinary tract disorders	BIALLELIC, autosomal or pseudoautosomal	Coenzyme Q10 deficiency, primary, 1, OMIM:607426				17855635;29637272;30180404		False	3	100;0;0	5.2	True		ENSG00000173085	ENSG00000173085	HGNC:25223													
COQ6	gene	COQ6	Eligibility statement prior genetic testing;Expert Review Green;NHS GMS	Proteinuric renal disease	Syndromes with prominent renal abnormalities	Renal and urinary tract disorders	BIALLELIC, autosomal or pseudoautosomal	Coenzyme Q10 deficiency, primary, 6 #614650				21540551		False	3	50;50;0	5.2	True		ENSG00000119723	ENSG00000119723	HGNC:20233													
COQ8B	gene	COQ8B	Expert Review Green;NHS GMS	Proteinuric renal disease	Syndromes with prominent renal abnormalities	Renal and urinary tract disorders	BIALLELIC, autosomal or pseudoautosomal	Nephrotic syndrome, type 9 #615573				24270420		False	3	100;0;0	5.2	False		ENSG00000123815	ENSG00000123815	HGNC:19041													
CRB2	gene	CRB2	Expert Review Green;Literature;NHS GMS	Proteinuric renal disease	Syndromes with prominent renal abnormalities	Renal and urinary tract disorders	BIALLELIC, autosomal or pseudoautosomal	steroid resistant nephrotic syndrome;Focal segmental glomerulosclerosis 9 #616220;Ventriculomegaly with cystic kidney disease #219730				25557779;27942854;29473663		False	3	100;0;0	5.2	False		ENSG00000148204	ENSG00000148204	HGNC:18688													
CUBN	gene	CUBN	Expert;Expert Review Green;Illumina TruGenome Clinical Sequencing Services;NHS GMS;Radboud University Medical Center, Nijmegen	Proteinuric renal disease	Syndromes with prominent renal abnormalities	Renal and urinary tract disorders	BIALLELIC, autosomal or pseudoautosomal	Megaloblastic anemia-1, Finnish type, 261100;Megaloblastic Anemia; (originally on the Imerslund-Grasbeck syndrome gene panel)				21903995;22574174		False	3	50;50;0	5.2	True		ENSG00000107611	ENSG00000107611	HGNC:2548													
DAAM2	gene	DAAM2	Expert Review Green;Literature	Proteinuric renal disease	Syndromes with prominent renal abnormalities	Renal and urinary tract disorders	BIALLELIC, autosomal or pseudoautosomal	steroid-resistant nephrotic syndrome MONDO:0044765				33232676		False	3	100;0;0	5.2	False		ENSG00000146122	ENSG00000146122	HGNC:18143													
DGKE	gene	DGKE	Expert Review Green;NHS GMS	Proteinuric renal disease	Syndromes with prominent renal abnormalities	Renal and urinary tract disorders	BIALLELIC, autosomal or pseudoautosomal	Nephrotic syndrome, type 7, OMIM:615008				23274426;23542698		False	3	50;50;0	5.2	False		ENSG00000153933	ENSG00000153933	HGNC:2852													
DLC1	gene	DLC1	Expert Review Green;NHS GMS	Proteinuric renal disease	Syndromes with prominent renal abnormalities	Renal and urinary tract disorders	BIALLELIC, autosomal or pseudoautosomal	Childhood and adult SSNS and SRNS				29773874		False	3	100;0;0	5.2	False		ENSG00000164741	ENSG00000164741	HGNC:2897													
