Entity Name	Entity type	Gene Symbol	Sources(; separated)	Level4	Level3	Level2	Model_Of_Inheritance	Phenotypes	Omim	Orphanet	HPO	Publications	Description	Flagged	GEL_Status	UserRatings_Green_amber_red	version	ready	Mode of pathogenicity	EnsemblId(GRch37)	EnsemblId(GRch38)	HGNC	Position Chromosome	Position GRCh37 Start	Position GRCh37 End	Position GRCh38 Start	Position GRCh38 End	STR Repeated Sequence	STR Normal Repeats	STR Pathogenic Repeats	Region Haploinsufficiency Score	Region Triplosensitivity Score	Region Required Overlap Percentage	Region Variant Type	Region Verbose Name
AGXT	gene	AGXT	Eligibility statement prior genetic testing;Emory Genetics Laboratory;Expert;Expert Review Green;Illumina TruGenome Clinical Sequencing Services;Radboud University Medical Center, Nijmegen;UKGTN	Nephrocalcinosis or nephrolithiasis	Disorders of function	Renal and urinary tract disorders	BIALLELIC, autosomal or pseudoautosomal	Primary Hyperoxaluria Type 1;Primary Hyperoxaluria;Hyperoxaluria, primary, type 1, 259900;Hyperoxaluria;primary hyperoxaluria						False	3	100;0;0	5.1	True		ENSG00000172482	ENSG00000172482	HGNC:341													
APRT	gene	APRT	Expert;Expert Review Green	Nephrocalcinosis or nephrolithiasis	Disorders of function	Renal and urinary tract disorders	BIALLELIC, autosomal or pseudoautosomal	"Adenine phosphoribosyltransferase deficiency	614723"						False	3	0;0;0	5.1	False		ENSG00000198931	ENSG00000198931	HGNC:626													
ATP6V0A4	gene	ATP6V0A4	Eligibility statement prior genetic testing;Expert;Expert Review Green;NHS GMS	Nephrocalcinosis or nephrolithiasis	Disorders of function	Renal and urinary tract disorders	BIALLELIC, autosomal or pseudoautosomal	Distal renal tubular acidosis 3, with or without sensorineural hearing loss, OMIM:602722				27274828;32123165;23729491;25572248;26208211;26571219;27247958;28233610;29202719;29725771;30230413;30256676;31348261;31929293;32613277;33881640;34159584		False	3	100;0;0	5.1	True		ENSG00000105929	ENSG00000105929	HGNC:866													
ATP6V1B1	gene	ATP6V1B1	Eligibility statement prior genetic testing;Expert;Expert Review Green	Nephrocalcinosis or nephrolithiasis	Disorders of function	Renal and urinary tract disorders	BIALLELIC, autosomal or pseudoautosomal	Distal renal tubular acidosis 2 with progressive sensorineural hearing loss, OMIM:267300;renal tubular acidosis, distal, 2, with progressive sensorineural hearing loss, MONDO:0009968				39837581;9916796;12566520;18798332		False	3	100;0;0	5.1	True		ENSG00000116039	ENSG00000116039	HGNC:853													
BSND	gene	BSND	Expert Review Green;Illumina TruGenome Clinical Sequencing Services;Radboud University Medical Center, Nijmegen	Nephrocalcinosis or nephrolithiasis	Disorders of function	Renal and urinary tract disorders	BIALLELIC, autosomal or pseudoautosomal	Bartter Syndrome;Bartter syndrome, type 4a, 602522;Sensorineural deafness with mild renal dysfunction, 602522						False	3	100;0;0	5.1	True		ENSG00000162399	ENSG00000162399	HGNC:16512													
CA2	gene	CA2	Expert;Expert Review Green	Nephrocalcinosis or nephrolithiasis	Disorders of function	Renal and urinary tract disorders	BIALLELIC, autosomal or pseudoautosomal	Osteopetrosis, autosomal recessive 3, with renal tubular acidosis						False	3	100;0;0	5.1	True		ENSG00000104267	ENSG00000104267	HGNC:1373													
CASR	gene	CASR	Eligibility statement prior genetic testing;Expert;Expert Review Green;Illumina TruGenome Clinical Sequencing Services;Radboud University Medical Center, Nijmegen;UKGTN	Nephrocalcinosis or nephrolithiasis	Disorders of function	Renal and urinary tract disorders	BOTH monoallelic and biallelic, autosomal or pseudoautosomal	Familial Hypocalciuric Hypercalcemia;Hypocalciuric hypercalcemia, type I, 145980Hyperparathyroidism, neonatal, 239200Hypocalcemia, autosomal dominant, 601198Hypocalcemia, autosomal dominant, with Bartter syndrome, 601198{Epilepsy idiopathic generalized, susceptibility to,;Hypocalcemia (dominant); Familial Hypocalciuric Hypercalcemia (dominant);hypocalciuric hypercalcaemia						False	3	100;0;0	5.1	False	Other	ENSG00000036828	ENSG00000036828	HGNC:1514													
CLCN5	gene	CLCN5	Expert;Expert Review Green;Illumina TruGenome Clinical Sequencing Services;Radboud University Medical Center, Nijmegen;UKGTN	Nephrocalcinosis or nephrolithiasis	Disorders of function	Renal and urinary tract disorders	X-LINKED: hemizygous mutation in males, biallelic mutations in females	Dent Disease;Dent disease, 300009;Nephrolithiasis, type I, 310468Hypophosphatemic rickets, 300554;Proteinuria, low molecular weight, with hypercalciuric nephrocalcinosis, 308990;Nephrocalcinosis with low molecular weight proteinuria and pregressive CKD						False	3	100;0;0	5.1	True		ENSG00000171365	ENSG00000171365	HGNC:2023													
CLCNKB	gene	CLCNKB	Expert;Expert Review Green;NHS GMS;Radboud University Medical Center, Nijmegen;UKGTN	Nephrocalcinosis or nephrolithiasis	Disorders of function	Renal and urinary tract disorders	BIALLELIC, autosomal or pseudoautosomal	Bartter syndrome, type 3, OMIM:607364;Bartter disease type 3, MONDO:0011822;Bartter syndrome, type 4b, digenic, OMIM:613090;Bartter disease type 4B, MONDO:0000909				28018459;23550235		False	3	100;0;0	5.1	True		ENSG00000184908	ENSG00000184908	HGNC:2027													
CLDN16	gene	CLDN16	Expert;Expert Review Green	Nephrocalcinosis or nephrolithiasis	Disorders of function	Renal and urinary tract disorders	BIALLELIC, autosomal or pseudoautosomal	Hypomagnesemia 3, renal						False	3	100;0;0	5.1	True		ENSG00000113946	ENSG00000113946	HGNC:2037													
