Entity Name	Entity type	Gene Symbol	Sources(; separated)	Level4	Level3	Level2	Model_Of_Inheritance	Phenotypes	Omim	Orphanet	HPO	Publications	Description	Flagged	GEL_Status	UserRatings_Green_amber_red	version	ready	Mode of pathogenicity	EnsemblId(GRch37)	EnsemblId(GRch38)	HGNC	Position Chromosome	Position GRCh37 Start	Position GRCh37 End	Position GRCh38 Start	Position GRCh38 End	STR Repeated Sequence	STR Normal Repeats	STR Pathogenic Repeats	Region Haploinsufficiency Score	Region Triplosensitivity Score	Region Required Overlap Percentage	Region Variant Type	Region Verbose Name
ACE	gene	ACE	Expert Review Green;Illumina TruGenome Clinical Sequencing Services;Radboud University Medical Center, Nijmegen;UKGTN	Unexplained kidney failure in young people	Disorders of function	Renal and urinary tract disorders	BIALLELIC, autosomal or pseudoautosomal	Renal Tubular Dysgenesis 267430						False	3	0;0;0	1.120	False		ENSG00000159640	ENSG00000159640	HGNC:2707													
ACTG2	gene	ACTG2	Expert Review;Expert Review Green	Unexplained kidney failure in young people	Disorders of function	Renal and urinary tract disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	"Visceral myopathy	(Megacystis-microcolon intestinal  hypoperistalsis syndrome,  Berdon syndrome) 155310"				25998219		False	3	0;0;0	1.120	False		ENSG00000163017	ENSG00000163017	HGNC:145													
ACTN4	gene	ACTN4	Eligibility statement prior genetic testing;Emory Genetics Laboratory;Expert Review Green;Radboud University Medical Center, Nijmegen;UKGTN	Unexplained kidney failure in young people	Disorders of function	Renal and urinary tract disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	"Glomerulosclerosis, focal segmental, 1	603278"				10700177;26301083;16251236		False	3	0;0;0	1.120	False		ENSG00000130402	ENSG00000130402	HGNC:166													
AGT	gene	AGT	Expert Review Green;Illumina TruGenome Clinical Sequencing Services;Radboud University Medical Center, Nijmegen;UKGTN	Unexplained kidney failure in young people	Disorders of function	Renal and urinary tract disorders	BIALLELIC, autosomal or pseudoautosomal	Renal tubular dysgenesis, 267430						False	3	0;0;0	1.120	False		ENSG00000135744	ENSG00000135744	HGNC:333													
AGTR1	gene	AGTR1	Expert list;Expert Review Green;Illumina TruGenome Clinical Sequencing Services;UKGTN	Unexplained kidney failure in young people	Disorders of function	Renal and urinary tract disorders	BIALLELIC, autosomal or pseudoautosomal	Renal tubular dysgenesis, 267430						False	3	0;0;0	1.120	False		ENSG00000144891	ENSG00000144891	HGNC:336													
AMN	gene	AMN	Expert Review Green;Radboud University Medical Center, Nijmegen;UKGTN	Unexplained kidney failure in young people	Disorders of function	Renal and urinary tract disorders	BIALLELIC, autosomal or pseudoautosomal	"Megaloblastic anemia-1, Norwegian type	261100"				12590260		False	3	0;0;0	1.120	False		ENSG00000166126	ENSG00000166126	HGNC:14604													
ANKS6	gene	ANKS6	Expert;Expert Review Green;Radboud University Medical Center, Nijmegen;UKGTN	Unexplained kidney failure in young people	Disorders of function	Renal and urinary tract disorders	BIALLELIC, autosomal or pseudoautosomal	"Nephronophthisis 16	615382"						False	3	0;0;0	1.120	False		ENSG00000165138	ENSG00000165138	HGNC:26724													
ARHGDIA	gene	ARHGDIA	Eligibility statement prior genetic testing;Emory Genetics Laboratory;Expert Review Green	Unexplained kidney failure in young people	Disorders of function	Renal and urinary tract disorders	BIALLELIC, autosomal or pseudoautosomal	"Nephrotic syndrome, type 8	615244"						False	3	0;0;0	1.120	False		ENSG00000141522	ENSG00000141522	HGNC:678													
C3	gene	C3	Expert list;Expert Review Green;Illumina TruGenome Clinical Sequencing Services;Radboud University Medical Center, Nijmegen	Unexplained kidney failure in young people	Disorders of function	Renal and urinary tract disorders	BOTH monoallelic and biallelic, autosomal or pseudoautosomal	"C3 deficiency	613779 AR;{Hemolytic uremic syndrome, atypical, susceptibility to, 5}	612925 AD"				18796626; 15781264		False	3	0;0;0	1.120	False		ENSG00000125730	ENSG00000125730	HGNC:1318													
CD46	gene	CD46	Expert list;Expert Review;Expert Review Green;Illumina TruGenome Clinical Sequencing Services;UKGTN	Unexplained kidney failure in young people	Disorders of function	Renal and urinary tract disorders	BOTH monoallelic and biallelic, autosomal or pseudoautosomal	Hemolytic uremic syndrome, atypical, susceptibility to, 2 612922				14615110; 14566051; 16621965		False	3	0;0;0	1.120	False		ENSG00000117335	ENSG00000117335	HGNC:6953													
