PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
33532864,Clinical utility of genetic testing in early-onset kidney disease: seven genes are the main players,"Domingo-Gallego A, Pybus M, Bullich G, Furlano M, Ejarque-Vila L, Lorente-Grandoso L, Ruiz P, Fraga G, López González M, Piñero-Fernández JA, Rodríguez-Peña L, Llano-Rivas I, Sáez R, Bujons-Tur A, Ariceta G, Guirado L, Torra R, Ars E.",Nephrol Dial Transplant. 2022 Mar 25;37(4):687-696. doi: 10.1093/ndt/gfab019.,Domingo-Gallego A,Nephrol Dial Transplant,2022,2021-02-03,,,10.1093/ndt/gfab019
37400792,Single-cell RNA sequencing for the study of kidney disease,"Zhu J, Lu J, Weng H.",Mol Med. 2023 Jul 3;29(1):85. doi: 10.1186/s10020-023-00693-8.,Zhu J,Mol Med,2023,2023-07-03,PMC10318824,,10.1186/s10020-023-00693-8
37261792,Genome-Wide Association Study of CKD Progression,"Robinson-Cohen C, Triozzi JL, Rowan B, He J, Chen HC, Zheng NS, Wei WQ, Wilson OD, Hellwege JN, Tsao PS, Gaziano JM, Bick A, Matheny ME, Chung CP, Lipworth L, Siew ED, Ikizler TA, Tao R, Hung AM.",J Am Soc Nephrol. 2023 Sep 1;34(9):1547-1559. doi: 10.1681/ASN.0000000000000170. Epub 2023 Jun 1.,Robinson-Cohen C,J Am Soc Nephrol,2023,2023-06-01,PMC10482057,,10.1681/ASN.0000000000000170
36573973,Exome Sequencing of a Clinical Population for Autosomal Dominant Polycystic Kidney Disease,"Chang AR, Moore BS, Luo JZ, Sartori G, Fang B, Jacobs S, Abdalla Y, Taher M, Carey DJ, Triffo WJ, Singh G, Mirshahi T.",JAMA. 2022 Dec 27;328(24):2412-2421. doi: 10.1001/jama.2022.22847.,Chang AR,JAMA,2022,2022-12-27,PMC9856880,,10.1001/jama.2022.22847
34264297,Genetic testing in the diagnosis of chronic kidney disease: recommendations for clinical practice,"Knoers N, Antignac C, Bergmann C, Dahan K, Giglio S, Heidet L, Lipska-Ziętkiewicz BS, Noris M, Remuzzi G, Vargas-Poussou R, Schaefer F.",Nephrol Dial Transplant. 2022 Jan 25;37(2):239-254. doi: 10.1093/ndt/gfab218.,Knoers N,Nephrol Dial Transplant,2022,2021-07-15,PMC8788237,,10.1093/ndt/gfab218
33437033,Genomic diagnostics in polycystic kidney disease: an assessment of real-world use of whole-genome sequencing,"Mallawaarachchi AC, Lundie B, Hort Y, Schonrock N, Senum SR, Gayevskiy V, Minoche AE, Hollway G, Ohnesorg T, Hinchcliffe M, Patel C, Tchan M, Mallett A, Dinger ME, Rangan G, Cowley MJ, Harris PC, Burnett L, Shine J, Furlong TJ.",Eur J Hum Genet. 2021 May;29(5):760-770. doi: 10.1038/s41431-020-00796-4. Epub 2021 Jan 12.,Mallawaarachchi AC,Eur J Hum Genet,2021,2021-01-13,PMC8110527,,10.1038/s41431-020-00796-4
33226606,Clinical exome sequencing is a powerful tool in the diagnostic flow of monogenic kidney diseases: an Italian experience,"Vaisitti T, Sorbini M, Callegari M, Kalantari S, Bracciamà V, Arruga F, Vanzino SB, Rendine S, Togliatto G, Giachino D, Pelle A, Cocchi E, Benvenuta C, Baldovino S, Rollino C, Fenoglio R, Sciascia S, Tamagnone M, Vitale C, Calabrese G, Biancone L, Bussolino S, Savoldi S, Borzumati M, Cantaluppi V, Chiappero F, Ungari S, Peruzzi L, Roccatello D, Amoroso A, Deaglio S.",J Nephrol. 2021 Oct;34(5):1767-1781. doi: 10.1007/s40620-020-00898-8. Epub 2020 Nov 23.,Vaisitti T,J Nephrol,2021,2020-11-23,PMC8494711,,10.1007/s40620-020-00898-8
37794564,The Clinical Utility of Genetic Testing in the Diagnosis and Management of Adults with Chronic Kidney Disease,"Dahl NK, Bloom MS, Chebib FT, Clark D, Westemeyer M, Jandeska S, Zhang Z, Milo-Rasouly H, Kolupaeva V, Marasa M, Broumand V, Fatica RA, Raj DS, Demko ZP, Marshall K, Punj S, Tabriziani H, Bhorade S, Gharavi AG.",J Am Soc Nephrol. 2023 Dec 1;34(12):2039-2050. doi: 10.1681/ASN.0000000000000249. Epub 2023 Oct 5.,Dahl NK,J Am Soc Nephrol,2023,2023-10-05,PMC10703084,,10.1681/ASN.0000000000000249
32939031,Clinical impact of genomic testing in patients with suspected monogenic kidney disease,"Jayasinghe K, Stark Z, Kerr PG, Gaff C, Martyn M, Whitlam J, Creighton B, Donaldson E, Hunter M, Jarmolowicz A, Johnstone L, Krzesinski E, Lunke S, Lynch E, Nicholls K, Patel C, Prawer Y, Ryan J, See EJ, Talbot A, Trainer A, Tytherleigh R, Valente G, Wallis M, Wardrop L, West KH, White SM, Wilkins E, Mallett AJ, Quinlan C.",Genet Med. 2021 Jan;23(1):183-191. doi: 10.1038/s41436-020-00963-4. Epub 2020 Sep 17.,Jayasinghe K,Genet Med,2021,2020-09-17,PMC7790755,,10.1038/s41436-020-00963-4
32450155,Clinical and genetic spectra of autosomal dominant tubulointerstitial kidney disease due to mutations in UMOD and MUC1,"Olinger E, Hofmann P, Kidd K, Dufour I, Belge H, Schaeffer C, Kipp A, Bonny O, Deltas C, Demoulin N, Fehr T, Fuster DG, Gale DP, Goffin E, Hodaňová K, Huynh-Do U, Kistler A, Morelle J, Papagregoriou G, Pirson Y, Sandford R, Sayer JA, Torra R, Venzin C, Venzin R, Vogt B, Živná M, Greka A, Dahan K, Rampoldi L, Kmoch S, Bleyer AJ Sr, Devuyst O.",Kidney Int. 2020 Sep;98(3):717-731. doi: 10.1016/j.kint.2020.04.038. Epub 2020 May 22.,Olinger E,Kidney Int,2020,2020-05-26,,,10.1016/j.kint.2020.04.038
